FACILITY,LAT,LON,CITY,TYPE,CAPACITY,CONST_YEAR,RENOV_YEAR,REBUILD_YEAR,CAP_YEAR,MWAD_YEAR,ENERGY_USE,GEN_EFF,ASH_RATIO
KYOTO_NORTH_01,35.03734276,135.6963695,108,INC,60000000,2006,2025,2045,2046,2046,ELEC,0.1496,0.086
KYOTO_NORTH_02,35.03734276,135.6963695,108,INC,60000000,2006,2027,2047,2046,2046,ELEC,0.1496,0.086
KYOTO_NE_01,35.08884646,135.7531528,103,INC,105000000,2001,2020,2040,2041,2041,ELEC,0.1433,0.079
KYOTO_NE_02,35.08884646,135.7531528,103,INC,105000000,2001,2022,2042,2041,2041,ELEC,0.1433,0.079
KYOTO_SOUTH_01,34.91785911,135.7348382,109,INC,75000000,2019,2038,2058,2059,2039,ELEC,0.1935,0.076
KYOTO_SOUTH_02,34.91785911,135.7348382,109,INC,75000000,2019,2040,2060,2059,2039,ELEC,0.1935,0.076
FUKUCHIYAMA_01,35.32329116,135.092845,201,INC,22500000,1999,2018,2038,2039,2039,,,0.061
FUKUCHIYAMA_02,35.32329116,135.092845,201,INC,22500000,1999,2020,2040,2039,2039,,,0.061
MAIZURU_01,35.46398637,135.3763578,202,INC,18000000,1993,2012,2032,2033,2033,,,0.051
MAIZURU_02,35.46398637,135.3763578,202,INC,18000000,1993,2014,2034,2033,2033,,,0.051
SAKURAZUKA_01,34.9668936,135.5649581,206,INC,12000000,1997,2015,2035,2037,2037,,,0.032
SAKURAZUKA_02,34.9668936,135.5649581,206,INC,12000000,1997,2017,2037,2037,2037,,,0.032
SAKURAZUKA_03,34.9668936,135.5649581,206,INC,12000000,1997,2019,2039,2037,2037,,,0.032
KYOTANABE,34.80723794,135.75077,211,INC,50400000,2026,2046,2066,2066,2046,ELEC,0.1935,0.058
MINEYAMA_01,35.63625103,135.0861336,212,INC,6300000,1997,2017,2037,2037,2037,,,0.049
MINEYAMA_02,35.63625103,135.0861336,212,INC,6300000,1997,2017,2037,2037,2037,,,0.049
MINEYAMA_03,35.63625103,135.0861336,212,INC,3150000,2002,2022,2042,2042,2042,,,0.049
MINEYAMA_04,35.63625103,135.0861336,212,INC,3150000,2002,2022,2042,2042,2042,,,0.049
HASEYAMA_01,34.85182924,135.8293824,207,INC,36000000,2006,2025,2045,2046,2046,ELEC,0.15,0.066
HASEYAMA_02,34.85182924,135.8293824,207,INC,36000000,2006,2027,2047,2046,2046,ELEC,0.15,0.066
ORII_01,34.86943955,135.8068375,204,INC,17250000,2018,2037,2057,2058,2038,ELEC,0.175,0.069
ORII_02,34.86943955,135.8068375,204,INC,17250000,2018,2039,2059,2058,2038,ELEC,0.175,0.069
KIZUGAWA_01,34.75255958,135.8411303,214,INC,14100000,2018,2037,2057,2058,2038,ELEC,0.129,0.052
KIZUGAWA_02,34.75255958,135.8411303,214,INC,14100000,2018,2039,2059,2058,2038,ELEC,0.129,0.052
OTOKUNI_01,34.9068852,135.7049721,303,INC,22500000,1995,2015,2035,2035,2035,,,0.076
OTOKUNI_02,34.9068852,135.7049721,303,INC,22500000,1995,2015,2035,2035,2035,,,0.076
OTOKUNI_03,34.9068852,135.7049721,303,INC,22500000,2002,2022,2042,2042,2042,ELEC,0.0982,0.076
MIYAZUYOSA,35.54880869,135.1394921,205,INC,9000000,2020,2040,2060,2060,2040,,,0.125
KYOTO_SOUTH_AD_01,34.91785911,135.7348382,109,TDAD,9000000,2019,2038,2058,2059,,ELEC,0.3858,
KYOTO_SOUTH_AD_02,34.91785911,135.7348382,109,TDAD,9000000,2019,2040,2060,2059,,ELEC,0.3858,
MIYAZUYOSA_AD,35.54880869,135.1394921,205,TDAD,6180000,2020,2040,2060,2060,,ELEC,0.14,
AYABE_RDF,35.27751599,135.2753321,203,RDF,15000000,2002,2022,2042,2042,2042,ELEC,0.25,
KYOTO_EAST_LF,34.96389204,135.8267754,,LANDFILL,,,,,,,,,
FUKUCHIYAMA_LF,35.32329116,135.092845,,LANDFILL,,,,,,,,,
MAIZURU_LF,35.49806852,135.4100724,,LANDFILL,,,,,,,,,
MIYAZU_EAST,35.53917197,135.2329236,,LANDFILL,,,,,,,,,
MINEYAMA_LF,35.63315403,135.0879574,,LANDFILL,,,,,,,,,
OMIYA_LF,35.57320794,135.1112625,,LANDFILL,,,,,,,,,
AMINO_LF,35.70040639,135.0744476,,LANDFILL,,,,,,,,,
KUMIHAMA_LF,35.61655256,134.8749821,,LANDFILL,,,,,,,,,
SHORYUJI_LF,34.91013516,135.708315,,LANDFILL,,,,,,,,,
