PREF,CITY,CITY_NAME,YEAR,UNIT_WASTE,FW_RATIO,PAPER_RATIO,PLASTIC_RATIO,SYNTEX_RATIO,NATTEX_RATIO,WOOD_RATIO
26,101,Kita,2014,324.485,0.387,0.313,0.124,0.032,0.032,0.032
26,102,Kamigyo,2014,324.485,0.387,0.313,0.124,0.032,0.032,0.032
26,103,Sakyo,2014,324.485,0.387,0.313,0.124,0.032,0.032,0.032
26,104,Nakagyo,2014,324.485,0.387,0.313,0.124,0.032,0.032,0.032
26,105,Higashiyama,2014,324.485,0.387,0.313,0.124,0.032,0.032,0.032
26,106,Shimogyo,2014,324.485,0.387,0.313,0.124,0.032,0.032,0.032
26,107,Minami,2014,324.485,0.387,0.313,0.124,0.032,0.032,0.032
26,108,Ukyo,2014,324.485,0.387,0.313,0.124,0.032,0.032,0.032
26,109,Fushimi,2014,324.485,0.387,0.313,0.124,0.032,0.032,0.032
26,110,Yamashina,2014,324.485,0.387,0.313,0.124,0.032,0.032,0.032
26,111,Nishikyo,2014,324.485,0.387,0.313,0.124,0.032,0.032,0.032
26,201,Fukuchiyama,2014,321.2,0.398,0.319,0.105,0.033,0.033,0.094
26,202,Maizuru,2014,320.835,0.417,0.318,0.087,0.033,0.033,0.072
26,203,Ayabe,2014,299.3,0.604,0.183,0.133,0.019,0.019,0.03
26,204,Uji,2014,259.88,0.218,0.378,0.177,0.039,0.039,0.081
26,205,Miyazu,2014,406.61,0.355,0.351,0.071,0.036,0.036,0.099
26,206,Kameoka,2014,260.975,0.233,0.374,0.186,0.038,0.038,0.108
26,207,Joyo,2014,276.305,0.206,0.38,0.204,0.039,0.039,0.066
26,208,Muko,2014,268.275,0.24,0.357,0.249,0.036,0.036,0.058
26,209,Nagaokakyo,2014,271.56,0.24,0.357,0.249,0.036,0.036,0.058
26,210,Yawata,2014,270.1,0.212,0.379,0.182,0.039,0.039,0.074
26,211,Kyotanabe,2014,278.13,0.235,0.362,0.246,0.037,0.037,0.066
26,212,Kyotango,2014,401.135,0.207,0.34,0.161,0.035,0.035,0.201
26,213,Nantan,2014,228.125,0.221,0.421,0.227,0.043,0.043,0.03
26,214,Kizugawa,2014,265.72,0.281,0.311,0.238,0.032,0.032,0.085
26,303,Oyamazaki,2014,250.39,0.24,0.357,0.249,0.036,0.036,0.058
26,322,Kumiyama,2014,452.235,0.212,0.379,0.182,0.039,0.039,0.074
26,343,Ide,2014,333.975,0.206,0.38,0.204,0.039,0.039,0.066
26,344,Ujitawara,2014,322.66,0.206,0.38,0.204,0.039,0.039,0.066
26,364,Kasagi,2014,348.94,0.336,0.389,0.031,0.04,0.04,0.085
26,365,Wazuka,2014,251.12,0.336,0.389,0.031,0.04,0.04,0.085
26,367,Minamiyamashiro,2014,286.89,0.336,0.389,0.031,0.04,0.04,0.085
26,465,Yosano,2014,302.22,0.355,0.351,0.071,0.036,0.036,0.099
26,101,Kita,2015,308.425,0.387,0.313,0.124,0.032,0.032,0.032
26,102,Kamigyo,2015,308.425,0.387,0.313,0.124,0.032,0.032,0.032
26,103,Sakyo,2015,308.425,0.387,0.313,0.124,0.032,0.032,0.032
26,104,Nakagyo,2015,308.425,0.387,0.313,0.124,0.032,0.032,0.032
26,105,Higashiyama,2015,308.425,0.387,0.313,0.124,0.032,0.032,0.032
26,106,Shimogyo,2015,308.425,0.387,0.313,0.124,0.032,0.032,0.032
26,107,Minami,2015,308.425,0.387,0.313,0.124,0.032,0.032,0.032
26,108,Ukyo,2015,308.425,0.387,0.313,0.124,0.032,0.032,0.032
26,109,Fushimi,2015,308.425,0.387,0.313,0.124,0.032,0.032,0.032
26,110,Yamashina,2015,308.425,0.387,0.313,0.124,0.032,0.032,0.032
26,111,Nishikyo,2015,308.425,0.387,0.313,0.124,0.032,0.032,0.032
26,201,Fukuchiyama,2015,311.345,0.398,0.319,0.105,0.033,0.033,0.094
26,202,Maizuru,2015,329.96,0.417,0.318,0.087,0.033,0.033,0.072
26,203,Ayabe,2015,302.95,0.604,0.183,0.133,0.019,0.019,0.03
26,204,Uji,2015,258.42,0.218,0.378,0.177,0.039,0.039,0.081
26,205,Miyazu,2015,390.185,0.355,0.351,0.071,0.036,0.036,0.099
26,206,Kameoka,2015,258.42,0.233,0.374,0.186,0.038,0.038,0.108
26,207,Joyo,2015,269.005,0.206,0.38,0.204,0.039,0.039,0.066
26,208,Muko,2015,264.99,0.24,0.357,0.249,0.036,0.036,0.058
26,209,Nagaokakyo,2015,270.465,0.24,0.357,0.249,0.036,0.036,0.058
26,210,Yawata,2015,265.72,0.212,0.379,0.182,0.039,0.039,0.074
26,211,Kyotanabe,2015,275.94,0.235,0.362,0.246,0.037,0.037,0.066
26,212,Kyotango,2015,393.47,0.207,0.34,0.161,0.035,0.035,0.201
26,213,Nantan,2015,223.015,0.221,0.421,0.227,0.043,0.043,0.03
26,214,Kizugawa,2015,262.8,0.281,0.311,0.238,0.032,0.032,0.085
26,303,Oyamazaki,2015,242.36,0.24,0.357,0.249,0.036,0.036,0.058
26,322,Kumiyama,2015,435.81,0.212,0.379,0.182,0.039,0.039,0.074
26,343,Ide,2015,331.055,0.206,0.38,0.204,0.039,0.039,0.066
26,344,Ujitawara,2015,349.305,0.206,0.38,0.204,0.039,0.039,0.066
26,364,Kasagi,2015,357.335,0.336,0.389,0.031,0.04,0.04,0.085
26,365,Wazuka,2015,245.645,0.336,0.389,0.031,0.04,0.04,0.085
26,367,Minamiyamashiro,2015,230.315,0.336,0.389,0.031,0.04,0.04,0.085
26,465,Yosano,2015,319.01,0.355,0.351,0.071,0.036,0.036,0.099
26,101,Kita,2016,293.095,0.387,0.313,0.124,0.032,0.032,0.032
26,102,Kamigyo,2016,293.095,0.387,0.313,0.124,0.032,0.032,0.032
26,103,Sakyo,2016,293.095,0.387,0.313,0.124,0.032,0.032,0.032
26,104,Nakagyo,2016,293.095,0.387,0.313,0.124,0.032,0.032,0.032
26,105,Higashiyama,2016,293.095,0.387,0.313,0.124,0.032,0.032,0.032
26,106,Shimogyo,2016,293.095,0.387,0.313,0.124,0.032,0.032,0.032
26,107,Minami,2016,293.095,0.387,0.313,0.124,0.032,0.032,0.032
26,108,Ukyo,2016,293.095,0.387,0.313,0.124,0.032,0.032,0.032
26,109,Fushimi,2016,293.095,0.387,0.313,0.124,0.032,0.032,0.032
26,110,Yamashina,2016,293.095,0.387,0.313,0.124,0.032,0.032,0.032
26,111,Nishikyo,2016,293.095,0.387,0.313,0.124,0.032,0.032,0.032
26,201,Fukuchiyama,2016,287.255,0.398,0.319,0.105,0.033,0.033,0.094
26,202,Maizuru,2016,321.565,0.417,0.318,0.087,0.033,0.033,0.072
26,203,Ayabe,2016,281.78,0.604,0.183,0.133,0.019,0.019,0.03
26,204,Uji,2016,253.31,0.218,0.378,0.177,0.039,0.039,0.081
26,205,Miyazu,2016,396.025,0.355,0.351,0.071,0.036,0.036,0.099
26,206,Kameoka,2016,256.23,0.233,0.374,0.186,0.038,0.038,0.108
26,207,Joyo,2016,266.085,0.206,0.38,0.204,0.039,0.039,0.066
26,208,Muko,2016,258.785,0.24,0.357,0.249,0.036,0.036,0.058
26,209,Nagaokakyo,2016,266.45,0.24,0.357,0.249,0.036,0.036,0.058
26,210,Yawata,2016,260.975,0.212,0.379,0.182,0.039,0.039,0.074
26,211,Kyotanabe,2016,271.56,0.235,0.362,0.246,0.037,0.037,0.066
26,212,Kyotango,2016,387.265,0.207,0.34,0.161,0.035,0.035,0.201
26,213,Nantan,2016,228.125,0.221,0.421,0.227,0.043,0.043,0.03
26,214,Kizugawa,2016,259.88,0.281,0.311,0.238,0.032,0.032,0.085
26,303,Oyamazaki,2016,235.06,0.24,0.357,0.249,0.036,0.036,0.058
26,322,Kumiyama,2016,441.285,0.212,0.379,0.182,0.039,0.039,0.074
26,343,Ide,2016,330.325,0.206,0.38,0.204,0.039,0.039,0.066
26,344,Ujitawara,2016,298.57,0.206,0.38,0.204,0.039,0.039,0.066
26,364,Kasagi,2016,346.02,0.336,0.389,0.031,0.04,0.04,0.085
26,365,Wazuka,2016,238.345,0.336,0.389,0.031,0.04,0.04,0.085
26,367,Minamiyamashiro,2016,228.125,0.336,0.389,0.031,0.04,0.04,0.085
26,465,Yosano,2016,304.775,0.355,0.351,0.071,0.036,0.036,0.099
26,101,Kita,2017,291.635,0.387,0.313,0.124,0.032,0.032,0.032
26,102,Kamigyo,2017,291.635,0.387,0.313,0.124,0.032,0.032,0.032
26,103,Sakyo,2017,291.635,0.387,0.313,0.124,0.032,0.032,0.032
26,104,Nakagyo,2017,291.635,0.387,0.313,0.124,0.032,0.032,0.032
26,105,Higashiyama,2017,291.635,0.387,0.313,0.124,0.032,0.032,0.032
