YEAR,COAL,PETRO,LNG,NUC,HYDRO,SOLAR,WIND,BIO
2023.0,0.112875837,0.005993407,0.294675857,0.443512137,0.142842873,5.71158e-05,6.96534e-06,3.58019e-05
2030.0,0.094,0.005,0.245,0.444,0.143,0.04,0.005,0.025
2031.0,0.091,0.005,0.238,0.444,0.143,0.046,0.006,0.029
2032.0,0.088,0.005,0.23,0.444,0.143,0.052,0.006,0.032
2033.0,0.086,0.005,0.223,0.444,0.143,0.057,0.007,0.036
2034.0,0.083,0.004,0.216,0.444,0.143,0.063,0.008,0.04
2035.0,0.08,0.004,0.209,0.444,0.143,0.069,0.008,0.043
2036.0,0.077,0.004,0.202,0.444,0.143,0.075,0.009,0.047
2037.0,0.075,0.004,0.195,0.444,0.143,0.08,0.01,0.05
2038.0,0.072,0.004,0.188,0.444,0.143,0.086,0.01,0.054
2039.0,0.069,0.004,0.18,0.444,0.143,0.092,0.011,0.058
2040.0,0.066,0.004,0.173,0.444,0.143,0.097,0.012,0.061
2041.0,0.064,0.003,0.166,0.444,0.143,0.103,0.013,0.065
2042.0,0.061,0.003,0.159,0.444,0.143,0.109,0.013,0.068
2043.0,0.058,0.003,0.152,0.444,0.143,0.115,0.014,0.072
2044.0,0.055,0.003,0.145,0.444,0.143,0.12,0.015,0.075
2045.0,0.053,0.003,0.138,0.444,0.143,0.126,0.015,0.079
2046.0,0.05,0.003,0.13,0.444,0.143,0.132,0.016,0.083
2047.0,0.047,0.003,0.123,0.444,0.143,0.138,0.017,0.086
2048.0,0.044,0.002,0.116,0.444,0.143,0.143,0.017,0.09
2049.0,0.042,0.002,0.109,0.444,0.143,0.149,0.018,0.093
2050.0,0.039,0.002,0.102,0.444,0.143,0.155,0.019,0.097
